linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"6,4,3",QEA,D,Alt,p,a,,,,,,,,
"6,4,2",REA,D,Alt,p,a,,,,,,,,
"6,4",UEA,D,Alt,p,a,,,,,,,,
"6,3,2",SEA,D,Alt,p,a,,,,,,,,
"6,3",VEA,D,Alt,p,a,,,,,,,,
"6,2",XEA,D,Alt,p,a,,,,,,,,
6,6EA,D,Alt,p,a,,,,,,,,
"4,3,2",TEA,D,Alt,p,a,,,,,,,,
"4,3",WEA,D,Alt,p,a,,,,,,,,
"4,2",YEA,D,Alt,p,a,,,,,,,,
4,4EA,D,Alt,p,a,,,,,,,,
"3,2",ZEA,D,Alt,p,a,,,,,,,,
3,3EA,D,Alt,p,a,,,,,,,,
2,2EA,D,Alt,p,a,,,,,,,,
1,1EA,D,Alt,p,a,,,,,,,,
0,0EA,D,Alt,p,a,,,,,,,,
"6,4,3,2",PEB,D,Alt,p,b,,,,,,,,
"6,4,3",QEB,D,Alt,p,b,,,,,,,,
"6,4,2",REB,D,Alt,p,b,,,,,,,,
"6,4",UEB,D,Alt,p,b,,,,,,,,
"6,3,2",SEB,D,Alt,p,b,,,,,,,,
"6,3",VEB,D,Alt,p,b,,,,,,,,
"6,2",XEB,D,Alt,p,b,,,,,,,,
6,6EB,D,Alt,p,b,,,,,,,,
"4,3,2",TEB,D,Alt,p,b,,,,,,,,
"4,3",WEB,D,Alt,p,b,,,,,,,,
"4,2",YEB,D,Alt,p,b,,,,,,,,
4,4EB,D,Alt,p,b,,,,,,,,
"3,2",ZEB,D,Alt,p,b,,,,,,,,
3,3EB,D,Alt,p,b,,,,,,,,
2,2EB,D,Alt,p,b,,,,,,,,
1,1EB,D,Alt,p,b,,,,,,,,
0,0EB,D,Alt,p,b,,,,,,,,
"4,3,2",TFA,D,Fuc,p,a,,,,,,,,
"4,3",WFA,D,Fuc,p,a,,,,,,,,
"4,2",YFA,D,Fuc,p,a,,,,,,,,
4,4FA,D,Fuc,p,a,,,,,,,,
"3,2",ZFA,D,Fuc,p,a,,,,,,,,
3,3FA,D,Fuc,p,a,,,,,,,,
2,2FA,D,Fuc,p,a,,,,,,,,
1,1FA,D,Fuc,p,a,,,,,,,,
0,0FA,D,Fuc,p,a,,,,,,,,
"4,3,2",TFB,D,Fuc,p,b,,,,,,,,
"4,3",WFB,D,Fuc,p,b,,,,,,,,
"4,2",YFB,D,Fuc,p,b,,,,,,,,
4,4FB,D,Fuc,p,b,,,,,,,,
"3,2",ZFB,D,Fuc,p,b,,,,,,,,
3,3FB,D,Fuc,p,b,,,,,,,,
2,2FB,D,Fuc,p,b,,,,,,,,
1,1FB,D,Fuc,p,b,,,,,,,,
0,0FB,D,Fuc,p,b,,,,,,,,
"6,4,3,2",PGA,D,Glc,p,a,,,,,,,,
"6,4,3",QGA,D,Glc,p,a,,,,,,,,
"6,4,2",RGA,D,Glc,p,a,,,,,,,,
"6,4",UGA,D,Glc,p,a,,,,,,,,
"6,3,2",SGA,D,Glc,p,a,,,,,,,,
"6,3",VGA,D,Glc,p,a,,,,,,,,
"6,2",XGA,D,Glc,p,a,,,,,,,,
6,6GA,D,Glc,p,a,,,,,,,,
"4,3,2",TGA,D,Glc,p,a,,,,,,,,
"4,3",WGA,D,Glc,p,a,,,,,,,,
"4,2",YGA,D,Glc,p,a,,,,,,,,
4,4GA,D,Glc,p,a,,,,,,,,
"3,2",ZGA,D,Glc,p,a,,,,,,,,
3,3GA,D,Glc,p,a,,,,,,,,
2,2GA,D,Glc,p,a,,,,,,,,
1,1GA,D,Glc,p,a,,,,,,,,
0,0GA,D,Glc,p,a,,,,,,,,
"6,4,3,2",PGB,D,Glc,p,b,,,,,,,,
"6,4,3",QGB,D,Glc,p,b,,,,,,,,
"6,4,2",RGB,D,Glc,p,b,,,,,,,,
"6,4",UGB,D,Glc,p,b,,,,,,,,
"6,3,2",SGB,D,Glc,p,b,,,,,,,,
"6,3",VGB,D,Glc,p,b,,,,,,,,
"6,2",XGB,D,Glc,p,b,,,,,,,,
6,6GB,D,Glc,p,b,,,,,,,,
"4,3,2",TGB,D,Glc,p,b,,,,,,,,
"4,3",WGB,D,Glc,p,b,,,,,,,,
"4,2",YGB,D,Glc,p,b,,,,,,,,
4,4GB,D,Glc,p,b,,,,,,,,
"3,2",ZGB,D,Glc,p,b,,,,,,,,
3,3GB,D,Glc,p,b,,,,,,,,
2,2GB,D,Glc,p,b,,,,,,,,
1,1GB,D,Glc,p,b,,,,,,,,
0,0GB,D,Glc,p,b,,,,,,,,
"9,8,7,4",AGL,D,Neup5Gc,p,a,,,,,,,,
"9,8,7",BGL,D,Neup5Gc,p,a,,,,,,,,
"9,8,4",CGL,D,Neup5Gc,p,a,,,,,,,,
"9,8",FGL,D,Neup5Gc,p,a,,,,,,,,
"9,7,4",DGL,D,Neup5Gc,p,a,,,,,,,,
"9,7",GGL,D,Neup5Gc,p,a,,,,,,,,
"9,4",IGL,D,Neup5Gc,p,a,,,,,,,,
9,9GL,D,Neup5Gc,p,a,,,,,,,,
"8,7,4",EGL,D,Neup5Gc,p,a,,,,,,,,
"8,7",HGL,D,Neup5Gc,p,a,,,,,,,,
"8,4",JGL,D,Neup5Gc,p,a,,,,,,,,
8,8GL,D,Neup5Gc,p,a,,,,,,,,
"7,4",KGL,D,Neup5Gc,p,a,,,,,,,,
7,7GL,D,Neup5Gc,p,a,,,,,,,,
4,4GL,D,Neup5Gc,p,a,,,,,,,,
2,2GL,D,Neup5Gc,p,a,,,,,,,,
0,0GL,D,Neup5Gc,p,a,,,,,,,,
"4,3,2",THA,D,Rha,p,a,,,,,,,,
